Match Number,Team,Player,Minute,Opponent,Date,Stadium,Group,Day,Time,Team_Role,Team_Score,Opponent_Score
1,Ecuador,Enner Valencia,16,Qatar,Nov/20,"Al Bayt Stadium, Al Khor",A,Sun,19:00,Team 2,2,0
2,Netherlands,Cody Gakpo,84,Senegal,Nov/21,"Al Thumama Stadium, Doha",A,Mon,19:00,Team 2,2,0
18,Qatar,Mohammed Muntari,78,Senegal,Nov/25,"Al Thumama Stadium, Doha",A,Fri,16:00,Team 1,1,3
18,Senegal,Boulaye Dia,41,Qatar,Nov/25,"Al Thumama Stadium, Doha",A,Fri,16:00,Team 2,3,1
18,Senegal,Famara Diédhiou,48,Qatar,Nov/25,"Al Thumama Stadium, Doha",A,Fri,16:00,Team 2,3,1
18,Senegal,Bamba Dieng,84,Qatar,Nov/25,"Al Thumama Stadium, Doha",A,Fri,16:00,Team 2,3,1
19,Netherlands,Cody Gakpo,6,Ecuador,Nov/25,"Khalifa International Stadium, Al Rayyan",A,Fri,19:00,Team 1,1,1
19,Ecuador,Enner Valencia,49,Netherlands,Nov/25,"Khalifa International Stadium, Al Rayyan",A,Fri,19:00,Team 2,1,1
35,Ecuador,Moisés Caicedo,67,Senegal,Nov/29,"Khalifa International Stadium, Al Rayyan",A,Tue,18:00,Team 1,1,2
35,Senegal,Ismaila Sarr,44,Ecuador,Nov/29,"Khalifa International Stadium, Al Rayyan",A,Tue,18:00,Team 2,2,1
35,Senegal,Ismaila Sarr,44,Ecuador,Nov/29,"Khalifa International Stadium, Al Rayyan",A,Tue,18:00,Team 2,2,1
35,Senegal,Koulibaly,70,Ecuador,Nov/29,"Khalifa International Stadium, Al Rayyan",A,Tue,18:00,Team 2,2,1
36,Netherlands,Cody Gakpo,26,Qatar,Nov/29,"Al Bayt Stadium, Al Khor",A,Tue,18:00,Team 1,2,0
36,Netherlands,Frenkie de Jong,49,Qatar,Nov/29,"Al Bayt Stadium, Al Khor",A,Tue,18:00,Team 1,2,0
3,England,Jude Bellingham,35,Iran,Nov/21,"Khalifa International Stadium, Al Rayyan",B,Mon,16:00,Team 1,6,2
3,England,Bukayo Saka,43,Iran,Nov/21,"Khalifa International Stadium, Al Rayyan",B,Mon,16:00,Team 1,6,2
3,England,' Marcus Rashford,71,Iran,Nov/21,"Khalifa International Stadium, Al Rayyan",B,Mon,16:00,Team 1,6,2
3,England,Jack Grealish,90,Iran,Nov/21,"Khalifa International Stadium, Al Rayyan",B,Mon,16:00,Team 1,6,2
3,Iran,Mehdi Taremi,65,England,Nov/21,"Khalifa International Stadium, Al Rayyan",B,Mon,16:00,Team 2,2,6
